식당(ID),식당명,도로명주소,지번주소,식당위도,식당경도,식당대표전화번호,영업신고증업태명,영업인허가명,음식점소개내용,식당상태
7238,일품향,전라북도 전주시 완산구 전주객사3길 12-8,전라북도 전주시 완산구 중앙동2가 31-1,35.8177739,127.143221,063-284-1901,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 전라북도 전주시 맛집, ""일품향""을 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
7241,전라회관,전라북도 전주시 완산구 안행4길 5,전라북도 전주시 완산구 삼천동1가 751-8,35.8005994,127.1320044,063-228-3033,한식,일반음식점,"무엇을 먹을지 고민되신다고요? 전라북도 전주시에 계시다면 ""전라회관""을 추천합니다! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
7242,메르밀 진미집,전라북도 전주시 완산구 전주천동로 94,전라북도 전주시 완산구 전동 237 진미집,35.8111945,127.1504161,063-288-4020,한식,일반음식점,"2019년 06월 10일 MBC 생방송오늘저녁 1085회, 2013년 06월 14일 KBS2 VJ특공대 669회, 2014년 09월 20일 Y STAR 식신로드1 200회 등 여러 방송에서 다룬 바로 그 곳! 전라북도 전주시 인기 맛집 ""메르밀진미집(본점)""을 방문해보세요! 레드테이블에서 온라인 예약이 가능합니다! 남녀 화장실이 구분되어 있는 매장입니다. 배달 가능한 매장입니다. 주차공간, 다국어 메뉴판이 있는 매장입니다.",운영중
7243,신한성원,전라북도 전주시 완산구 태평3길 86,전라북도 전주시 완산구 태평동 8-98,35.8260139,127.1415561,063-254-0002,한식,일반음식점,"2013년 06월 05일 SBS 생방송투데이 977회, 2013년 01월 23일 KBS2 굿모닝대한민국 433회 등 많은 방송에 등장한 바로 그 곳! 전라북도 전주시에 가시면 소문난 맛집 ""신한성원""을 방문해보세요! 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
7251,짬뽕명가,전라북도 전주시 덕진구 권삼득로 385 2층,전라북도 전주시 덕진구 덕진동2가 189-25,35.8467369,127.1209415,050-4054-4655,중국식,일반음식점,"전라북도 전주시에서 맛집을 찾으신다면 ""짬뽕명가""를 추천합니다. 남녀 화장실이 구분되어 있는 매장입니다. 배달 가능한 매장입니다. 주차공간, 다국어 메뉴판이 있는 매장입니다.",운영중
8797,성미당,전라북도 전주시 완산구 전라감영5길 19-9,전라북도 전주시 완산구 중앙동3가 31-2,35.8173374,127.1453774,063-287-8800,한식,일반음식점,"2017년 01월 07일 SBS 백종원의3대천왕 67회, 2014년 07월 17일 SBS 생방송투데이 1248회 등 여러 방송에서 다룬 바로 그 곳! 전라북도 전주시 인기 맛집 ""성미당""을 방문해보세요! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 레드테이블에서 온라인 예약이 가능합니다! 남녀 화장실이 구분되어 있는 매장입니다. 배달 가능한 매장입니다. 주차공간, 다국어 메뉴판, 그리고 무선 인터넷이 있는 매장입니다.",운영중
8798,꼬꼬영양통닭,전라북도 전주시 완산구 경기전길 38-10,전라북도 전주시 완산구 경원동2가 53-5,35.8176819,127.1498544,063-283-2655,한식,일반음식점,"""꼬꼬영양통닭""은 전라북도 전주시에 있습니다. 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
8799,또순이네집,전라북도 전주시 완산구 전주객사3길 11-8,전라북도 전주시 완산구 고사동 443-6,35.8177513,127.1418485,063-231-3123,분식,일반음식점,"전라북도 전주시에서 가 볼 만한 식당을 찾으신다면? ""또순이네집""을 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
8800,신시골집,"전라북도 전주시 완산구 공북로 60, 1층 (태평동)",전라북도 전주시 완산구 태평동 22-29,35.8256467,127.1383938,063-254-6369,한식,일반음식점,"전라북도 전주시에서 식당을 찾으신다면? ""신시골집""을 방문해보세요! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
8805,덕천식당,전라북도 전주시 덕진구 명륜1길 6,전라북도 전주시 덕진구 우아동2가 890-9,35.8404279,127.1292353,063-254-7365,한식,일반음식점,"""덕천식당""은 전라북도 전주시에 있습니다. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
10451,전주초밥,전라북도 전주시 완산구 전라감영5길 25,전라북도 전주시 완산구 중앙동3가 67-13,35.81776,127.1457992,063-224-4488,한식,일반음식점,"전라북도 전주시에서 가 볼 만한 식당을 찾으신다면? ""전주초밥""을 추천합니다! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 주차공간, 다국어 메뉴판이 있는 매장입니다.",운영중
10455,반야돌솥밥,전라북도 전주시 완산구 홍산1길 6,전라북도 전주시 완산구 효자동2가 1156-6,35.8148963,127.1083511,063-288-3174,한식,일반음식점,"전라북도 전주시에서 맛집을 찾으신다면, ""반야돌솥밥(본점)""을 꼭 방문해보세요. 2019년 10월 03일 KBS2 2TV생생정보 913회에 방영된 유명 매장이랍니다! 위생 수준이 우수하고 친절한 서비스로 지방자치단체의 선정을 받은 모범음식점입니다. 레드테이블에서 온라인 예약이 가능합니다! 남녀 화장실이 구분되어 있으며, 베리어프리 매장입니다. 배달 가능한 매장입니다. 주차공간, 다국어 메뉴판이 있는 매장입니다.",운영중
12144,계수나무,전라북도 전주시 완산구 전동성당길 26,전라북도 전주시 완산구 경원동1가 115-5,35.8177451,127.1487215,063-283-5232,분식,일반음식점,"전라북도 전주시에서 맛집을 찾으신다면, ""계수나무짬뽕(본점)""을 꼭 방문해보세요. 2011년 12월 05일 KBS2 생생정보통 367회에 방영된 유명 매장이랍니다! 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 주차공간, 키오스크, 그리고 다국어 메뉴판이 있는 매장입니다.",운영중
12147,동보성,전라북도 전주시 완산구 서학로 38,전라북도 전주시 완산구 동서학동 138-5,35.8094141,127.1535309,063-283-4455,중국식,일반음식점,"""동보성""은 전라북도 전주시에 있습니다. 레드테이블에서 온라인 예약이 가능합니다! 반려동물 입장이 가능한 매장입니다. 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
16469,효자문,전라북도 전주시 완산구 전주객사4길 43-24 효자문,전라북도 전주시 완산구 고사동 378-5,35.8196062,127.1429313,063-284-4236,한식,일반음식점,"전라북도 전주시에서 맛집을 찾으신다면 ""효자문식당""을 추천합니다. 레드테이블에서 온라인 예약이 가능합니다! 남녀 화장실이 구분되어 있는 매장입니다. 주차공간, 다국어 메뉴판이 있는 매장입니다.",운영중
21263,카페서로,전라북도 전주시 덕진구 백동5길 9,전라북도 전주시 완산구 서신동 937-7,35.8467901,127.1502828,070-8600-1179,한식,일반음식점,"""카페서로""는 전라북도 전주시에 있습니다. 레드테이블에서 온라인 예약이 가능합니다! 남녀 화장실이 구분되어 있는 매장입니다. 다국어 메뉴판, 무선 인터넷이 있는 매장입니다.",운영중
21264,원일옥,전라북도 전주시 덕진구 태진로 79,전라북도 전주시 덕진구 진북동 417-68,35.8283546,127.1361663,063-274-8617,한식,일반음식점,"""원일옥""은 전라북도 전주시에 있습니다. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
23947,풍남문한우촌,전라북도 전주시 완산구 팔달로 119-4,전라북도 전주시 완산구 전동 187-6,35.813202,127.1484459,063-288-6020,한식,일반음식점,"전라북도 전주시에서 가 볼 만한 식당을 찾으신다면? ""풍남문한우촌""을 추천합니다! 위생 수준이 우수하고 친절한 서비스로 지방자치단체의 선정을 받은 모범음식점입니다. 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 주차공간, 다국어 메뉴판이 있는 매장입니다.",운영중
23953,다래옥,전라북도 전주시 덕진구 백제대로 777-2,전라북도 전주시 완산구 평화동2가 458-61,35.8474359,127.153578,063-245-2935,한식,일반음식점,"전라북도 전주시에 가신다면 ""다래옥""에 방문해보세요~ 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
23955,현대옥 덕진광장점,전라북도 전주시 덕진구 덕진광장로 1-11,전라북도 전주시 덕진구 덕진동1가 1279-5,35.8445103,127.1240468,063-277-9882,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 전라북도 전주시 맛집, ""현대옥(덕진광장점)""을 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
27154,팔공티 전북대점,전라북도 전주시 덕진구 명륜4길 25,전라북도 전주시 덕진구 덕진동1가 664-18,35.8440645,127.1272179,063-255-8023,한식,일반음식점,"무엇을 먹을지 고민되신다고요? 전라북도 전주시에 계시다면 ""팔공티(전북대점)""를 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 키오스크, 다국어 메뉴판, 그리고 무선 인터넷이 있는 매장입니다.",운영중
27155,땡땡이상추튀김,전라북도 전주시 덕진구 권삼득로 313,전라북도 전주시 덕진구 금암동 664-39,35.8436952,127.1277173,063-273-0903,분식,일반음식점,"""옛날땡땡이상추튀김(북대1호점)""은 전라북도 전주시에 있습니다. 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
31464,호성횟집,전라북도 전주시 완산구 동문길 115-6,전라북도 전주시 완산구 경원동1가 111-5,35.8175784,127.1477957,063-284-0505,회집,일반음식점,"""호성횟집""은 전라북도 전주시에 있습니다. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
31466,만성한정식,전라북도 전주시 완산구 바우배기1길 31-9,전라북도 전주시 완산구 효자동2가 1243-8,35.8151513,127.1050056,063-232-4141,한식,일반음식점,"전라북도 전주시에 가신다면 ""만성한정식""에 방문해보세요~ 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 레드테이블에서 온라인 예약이 가능합니다! 반려동물 입장이 가능하고, 남녀 화장실이 구분되어 있는 매장입니다. 주차공간, 다국어 메뉴판이 있는 매장입니다.",운영중
31474,평양면옥,전라북도 전주시 덕진구 솔내8길 10-3,전라북도 전주시 덕진구 송천동1가 484-8,35.86068,127.1224685,063-254-5888,한식,일반음식점,"""평양면옥""은 전라북도 전주시에 있습니다. 위생 수준이 우수하고 친절한 서비스로 지방자치단체의 선정을 받은 모범음식점입니다. 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 레드테이블에서 온라인 예약이 가능합니다! 남녀 화장실이 구분되어 있는 매장입니다. 주차공간, 다국어 메뉴판이 있는 매장입니다.",운영중
31477,한가족 전북대점,전라북도 전주시 덕진구 명륜5길 16-1 1층,전라북도 전주시 덕진구 덕진동1가 1314-159,35.8439733,127.1260727,050-5006-6578,한식,일반음식점,"전라북도 전주시에서 가 볼 만한 식당을 찾으신다면? ""한가족(전북대점)""을 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
36821,멕시칸치킨호프 서신점,전라북도 전주시 완산구 전룡로 106,전라북도 전주시 완산구 서신동 22-30 든든한교회,35.8285561,127.1242425,063-277-4047,호프/통닭,일반음식점,"""멕시칸치킨호프(서신점)""를 전라북도 전주시의 가 볼 만한 식당으로 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
36822,연기나는마을효자점,전라북도 전주시 완산구 효자천변1길 36-14,전라북도 전주시 완산구 효자동1가 667-6,35.7992244,127.1149299,063-224-3223,기타,일반음식점,"전라북도 전주시에서 식당을 찾으신다면? ""연기나는마을(효자점)""을 방문해보세요! 레드테이블에서 온라인 예약이 가능합니다! 남녀 화장실이 구분되어 있는 매장입니다. 다국어 메뉴판, 무선 인터넷이 있는 매장입니다.",운영중
36827,왕십리곱창서신점,전라북도 전주시 완산구 전룡로 20,전라북도 전주시 완산구 서신동 854-6,35.8261198,127.1153027,063-255-5492,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 전라북도 전주시 맛집, ""왕십리곱창(서신점)""을 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
36832,시골밥상,전라북도 전주시 완산구 노송여울1길 9,전라북도 전주시 완산구 평화동1가 742-11,35.8241284,127.1460031,063-273-4110,한식,일반음식점,"전라북도 전주시에서 식당을 찾으신다면? ""시골밥상""을 방문해보세요! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
36838,뚜레쥬르 전주효자1가점,전라북도 전주시 완산구 용머리로 158,전라북도 전주시 완산구 효자동1가 195-9,35.8058712,127.1273865,063-236-6114,제과점영업,제과점영업,"어디 가야 할지 고민이시라고요? 그럼 전라북도 전주시 맛집, ""뚜레쥬르(전주효자1가점)""를 추천합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
36844,모두랑 전북대점,전라북도 전주시 덕진구 명륜4길 21-6,전라북도 전주시 덕진구 덕진동1가 1312-6,35.8442058,127.1264364,063-909-5201,분식,일반음식점,"""모두랑(전북대점)""을 전라북도 전주시의 가 볼 만한 식당으로 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
36851,금암피순대,전라북도 전주시 덕진구 기린대로 400-59,전라북도 전주시 덕진구 금암동 729-3,35.8384489,127.1328866,063-272-1394,한식,일반음식점,"전라북도 전주시 근처로 갈 일정이 있으시다면, 맛집으로 소문난 ""금암피순대""를 꼭 방문해보세요. 2021년 01월 15일 TV조선 식객허영만의백반기행 86회에 방영되었답니다. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
42486,종로회관,전라북도 전주시 완산구 전동성당길 98,전라북도 전주시 완산구 전동 60-2,35.8149712,127.148748,063-288-4578,한식,일반음식점,"무엇을 먹을지 고민되신다고요? 전라북도 전주시에 계시다면 ""종로회관""을 추천합니다! 위생 수준이 우수하고 친절한 서비스로 지방자치단체의 선정을 받은 모범음식점입니다. 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 레드테이블에서 온라인 예약이 가능합니다! 남녀 화장실이 구분되어 있는 매장입니다. 배달 가능한 매장입니다. 주차공간, 다국어 메뉴판, 그리고 무선 인터넷이 있는 매장입니다.",운영중
42489,장수원,전라북도 전주시 완산구 따박골5길 60,전라북도 전주시 완산구 중화산동2가 538-12,35.8111534,127.1273463,063-224-8584,한식,일반음식점,"전라북도 전주시에서 가 볼 만한 식당을 찾으신다면? ""장수원""을 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
42496,육일식당,전라북도 전주시 완산구 천잠로 17,전라북도 전주시 완산구 삼천동2가 275-3,35.79201,127.1093455,063-221-3687,한식,일반음식점,"2020년 07월 16일 KBS2 2TV생생정보 1109회, 2018년 07월 26일 MBC 생방송오늘저녁 891회, 2017년 11월 08일 KBS2 2TV생생정보 445회, 2016년 06월 25일 SBS 백종원의3대천왕 43회, 2016년 01월 19일 SBS 생방송투데이 1554회 등 여러 방송에서 다룬 바로 그 곳! 전라북도 전주시 인기 맛집 ""육일식당""을 방문해보세요! 레드테이블에서 온라인 예약이 가능합니다! 남녀 화장실이 구분되어 있는 매장입니다. 주차공간, 놀이방이 마련되어 있으며 다국어 메뉴판, 무선 인터넷을 제공하는 매장입니다.",운영중
42501,연성국밥 전주대점,전라북도 전주시 완산구 백마산길 21,전라북도 전주시 완산구 효자동3가  1184-3,35.8172807,127.0909038,063-227-8808,호프/통닭,일반음식점,"""연성국밥(전주대점)""을 전라북도 전주시의 가 볼 만한 식당으로 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
42513,순창장군목다슬기,전라북도 전주시 덕진구 명주6길 14-23,전라북도 전주시 덕진구 인후동2가 1576-6,35.8449067,127.1515841,063-246-5788,한식,일반음식점,"전라북도 전주시에서 식당을 찾으신다면? ""순창장군목다슬기""를 방문해보세요! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
42521,네커피,전라북도 전주시 덕진구 삼송5길 14-18,전라북도 전주시 덕진구 금암동 1546-5,35.8435212,127.1379801,050-7142-7305,기타,일반음식점,"""네커피""는 전라북도 전주시에 있습니다. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
42522,맥주천국 비어원,전라북도 전주시 덕진구 기린대로 400-65,전라북도 전주시 덕진구 금암동 729-14,35.8384142,127.1331116,063-276-3331,기타,일반음식점,"""비어원""은 전라북도 전주시에 있습니다. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
42524,파리바게뜨 전주터미널점,전라북도 전주시 덕진구 가리내로 30,전라북도 전주시 덕진구 금암동 796-5 전주시외버스공용미널,35.8344331,127.1326898,063-902-8292,다방,휴게음식점,"""파리바게뜨(전주터미널점)""는 전라북도 전주시에 있습니다. 레드테이블에서 온라인 예약이 가능합니다! 남녀 화장실이 구분되어 있는 매장입니다. 배달 가능한 매장입니다. 다국어 메뉴판, 무선 인터넷이 있는 매장입니다.",운영중
49716,연지본관,전라북도 전주시 완산구 현무1길 15,전라북도 전주시 완산구 경원동3가 17-16,35.8201884,127.1477236,063-286-4988,한식,일반음식점,"전라북도 전주시에서 식당을 찾으신다면? ""연지본관(본점)""을 방문해보세요! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
49718,장가네 왕족발,전라북도 전주시 완산구 동문길 24,전라북도 전주시 완산구 풍남동2가 6-2 장가네왕족발,35.8193066,127.1525132,063-282-7476,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 전라북도 전주시 맛집, ""장가네왕족발""을 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
49724,경아분식,전라북도 전주시 완산구 전주객사1길 46,전라북도 전주시 완산구 다가동3가 50-2,35.8183392,127.1393319,063-232-2992,한식,일반음식점,"""경아분식""을 전라북도 전주시의 가 볼 만한 식당으로 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
49733,김미경부대찌개오리주물럭,전라북도 전주시 완산구 거마산2길 6,전라북도 전주시 완산구 삼천동1가 625,35.7970777,127.1241266,063-226-6255,한식,일반음식점,"""김미경부대찌개오리주물럭""은 전라북도 전주시에 있습니다. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
49740,전주대 한끼마을,전라북도 전주시 완산구 백마산길 38,전라북도 전주시 완산구 효자동3가 1277-1,35.8170078,127.0893065,063-225-8084,분식,일반음식점,"전라북도 전주시에 가신다면 ""전주대 한끼마을""에 방문해보세요~ 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 키오스크, 다국어 메뉴판, 그리고 무선 인터넷이 있는 매장입니다.",운영중
49755,우성정,전라북도 전주시 덕진구 벚꽃4길 3-4 우성정,전라북도 전주시 덕진구 진북동 1022-19,35.828234,127.1349148,063-272-8888,한식,일반음식점,"무엇을 먹을지 고민되신다고요? 전라북도 전주시에 계시다면 ""우성정""을 추천합니다! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
49767,금암소바,전라북도 전주시 덕진구 기린대로 400-75,전라북도 전주시 덕진구 금암동 729-6,35.8385465,127.1331707,063-278-0945,분식,일반음식점,"전라북도 전주시에 방문하신다면, ""금암소바""에 가보시는 것은 어떨까요? 2014년 04월 14일 SBS 생활의달인 426회에 방영되었을 만큼 소문난 매장이랍니다! 레드테이블에서 온라인 예약이 가능합니다! 남녀 화장실이 구분되어 있는 매장입니다. 배달 가능한 매장입니다. 주차공간, 다국어 메뉴판이 있는 매장입니다.",운영중
58654,초장집,전라북도 전주시 완산구 전주객사2길 45-10,전라북도 전주시 완산구 다가동4가 83-12,35.8187594,127.139944,063-909-9797,한식,일반음식점,"전라북도 전주시에서 맛집을 찾으신다면, ""전주초장집""을 꼭 방문해보세요. 2020년 01월 07일 SBS 생활의달인 704회에 방영된 유명 매장이랍니다! 레드테이블에서 온라인 예약이 가능합니다! 남녀 화장실이 구분되어 있는 매장입니다. 다국어 메뉴판, 무선 인터넷이 있는 매장입니다.",운영중
58658,근영목우촌숯불갈비,전라북도 전주시 완산구 영경2길 5,전라북도 전주시 완산구 중화산동2가 653-5,35.8170636,127.1238434,063-225-2140,한식,일반음식점,"무엇을 먹을지 고민되신다고요? 전라북도 전주시에 계시다면 ""근영목우촌""을 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 남녀 화장실이 구분되어 있는 매장입니다. 주차공간, 다국어 메뉴판이 있는 매장입니다.",운영중
58659,춘향회관,전라북도 전주시 완산구 중산2길 15-5,전라북도 전주시 완산구 중화산동2가 633-1,35.8149647,127.1218627,063-222-3434,한식,일반음식점,"전라북도 전주시에서 어디를 갈지 고민이라면! ""춘향회관""에 가보시는 건 어떨까요? 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
58661,완산성순대국 삼천점,전라북도 전주시 완산구 용리로 114,전라북도 전주시 완산구 삼천동1가  606-1,35.7983563,127.1222445,063-221-1366,한식,일반음식점,"전라북도 전주시에서 어디를 갈지 고민이라면! ""완산성순대국(삼천점)""에 가보시는 건 어떨까요? 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
58666,김가네닭발꼼장어,전라북도 전주시 완산구 거마남로 78,전라북도 전주시 완산구 삼천동1가 668-2,35.7955184,127.1251923,063-221-3949,한식,일반음식점,"전라북도 전주시에서 가 볼 만한 식당을 찾으신다면? ""김가네닭발꼼장어""를 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
